SHOP NAME,LOCATION,Latitude,Longitude,Sales Exec Name,Average 30 days Sale,Average Payment Cycle (days),MOBILE NO,SHOP SIZE,NO OF SKU,Volume  (4/10),Credit Cycle (4/10),Location (1/10),SKUS (1/10),Total,quality,Color,hov_text
AVDESH FRUITS,TELIWARA SHAHDARA ,28.67208561,77.28998912,Naveen,75000,1,7417031735,4*6,8,2,4,0,1,7,B,green,AVDESH FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
SONU FRUITS,TEJAB MILL SHAHDARA,28.672113,77.28877878,Naveen,75000,1,8851354365,6*8,6,2,4,0,1,7,B,green,SONU FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
JOGENDER FRUITS,TEJAB MILL SHAHDARA,28.672113,77.28877878,Naveen,75000,1,8860419183,6*8,15,2,4,0,1,7,B,green,JOGENDER FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
VASIM FRUITS,NAVEEN SHAHDARA,28.67623647,77.28299762,Naveen,75000,1,9599300362,10*10,10,2,4,0,1,7,B,green,VASIM FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
MULLA JI FRUITS,SHAHDARA METRO,28.67357235,77.28990146,Naveen,75000,1,7042425034,6*8,12,2,4,0,1,7,B,green,MULLA JI FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
VARIS FRUITS,SHAHDARA METRO,28.67357235,77.28990146,Naveen,75000,1,9818744895,4*6,8,2,4,0,1,7,B,green,VARIS FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
AHSAN FRUITS,CHOTA BAJAAR SHAHDARA,28.67002296,77.29307544,Naveen,75000,1,9891262895,6*6,15,2,4,0,1,7,B,green,AHSAN FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
FAIZAN FRUITS,NAVEEN SHAHDARA,28.67623647,77.28299762,Naveen,75000,1,7623072353,4*6,10,2,4,0,1,7,B,green,FAIZAN FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
GULFAM FRUITS,CHOTA BAJAAR SHAHDARA,28.67006532,77.29346168,Naveen,60000,1,7065806074,6*8,10,1,4,0,1,6,B,green,GULFAM FRUITS<br>30 Days sale: 60000<br>Payment Cycle: 1<br>Total Score: 6
SALMAN FRUITS,CHOTA BAJAAR SHAHDARA,28.66955228,77.29358506,Naveen,60000,1,8826519265,8*10,10,1,4,0,1,6,B,green,SALMAN FRUITS<br>30 Days sale: 60000<br>Payment Cycle: 1<br>Total Score: 6
MD VASIM FRUITS,NAVEEN SHAHDARA,28.67614234,77.28230025,Naveen,60000,1,9971150536,4*6,15,1,4,0,1,6,B,green,MD VASIM FRUITS<br>30 Days sale: 60000<br>Payment Cycle: 1<br>Total Score: 6
SHAMIM FRUITS,NAVEEN SHAHDARA,28.67634942,77.28166724,Naveen,60000,1,8130546030,4*6,20,1,4,0,1,6,B,green,SHAMIM FRUITS<br>30 Days sale: 60000<br>Payment Cycle: 1<br>Total Score: 6
GUDDU FRUITS,NAVEEN SHAHDARA,28.67728129,77.28333021,Naveen,75000,2+,9718208374,6*8,10,2,3,0,1,6,B,green,GUDDU FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 2+<br>Total Score: 6
NALLE FRUITS,CHOTA BAJAAR SHAHDARA,28.67079015,77.29340803,Naveen,75000,2+,9582176083,6*8,12,2,3,0,1,6,B,green,NALLE FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 2+<br>Total Score: 6
SUNIL FRUITS,BIHARI COLONY SHAHDARA,28.67234404,77.28458896,Naveen,75000,2+,8865965762,4*6,10,2,3,0,1,6,B,green,SUNIL FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 2+<br>Total Score: 6
BHURE FRUITS,BIHARI COLONY SHAHDARA,28.67162303,77.2831802,Naveen,75000,2+,9711561796,6*8,15,2,3,0.5,1,6.5,B,green,BHURE FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 2+<br>Total Score: 6.5
AFJAL FRUITS,VISHVAS NAGAR,28.66132451,77.29477599,Naveen,75000,2+,9289702933,6*6,8,2,3,0.5,1,6.5,B,green,AFJAL FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 2+<br>Total Score: 6.5
MUSLIM FRUITS,KANTI NAGAR,28.66783375,77.27758105,Naveen,75000,2+,9355636788,4*6,12,2,3,0.5,1,6.5,B,green,MUSLIM FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 2+<br>Total Score: 6.5
MUNNA FRUITS,VISHVAS NAGAR,28.65932958,77.29657868,Naveen,60000,4+,8448639849,8*10,15,1,2,0.5,1,4.5,C,red,MUNNA FRUITS<br>30 Days sale: 60000<br>Payment Cycle: 4+<br>Total Score: 4.5
GUPTA FRUITS,BHOLA NATH NAGAR,28.66946476,77.28656311,Naveen,60000,4+,9899840831,6*6,20,1,2,0.5,1,4.5,C,red,GUPTA FRUITS<br>30 Days sale: 60000<br>Payment Cycle: 4+<br>Total Score: 4.5
JAKEER FRUITS,KRISHNA NAGAR,28.65373627,77.28483235,Naveen,60000,4+,7065903596,4*6,15,1,2,0.5,1,4.5,C,red,JAKEER FRUITS<br>30 Days sale: 60000<br>Payment Cycle: 4+<br>Total Score: 4.5
RAJESH FRUITS,KHUREJI KHASS,28.64614239,77.27918404,Naveen,60000,4+,9868370501,6*8,10,1,2,0.5,1,4.5,C,red,RAJESH FRUITS<br>30 Days sale: 60000<br>Payment Cycle: 4+<br>Total Score: 4.5
RANJEET FRUITS,KARKADOOMA,28.65331583,77.30536756,Naveen,60000,4+,8588855590,8*8,20,1,2,0.5,1,4.5,C,red,RANJEET FRUITS<br>30 Days sale: 60000<br>Payment Cycle: 4+<br>Total Score: 4.5
HANEES FRUITS,SHAHDARA ,28.69325374,77.26315028,Naveen,99000,4+,8373928178,8*10,15,3,2,0.5,1,6.5,B,green,HANEES FRUITS<br>30 Days sale: 99000<br>Payment Cycle: 4+<br>Total Score: 6.5
MD AMIR,SHAHDARA ,28.69081318,77.26950954,Naveen,99000,4+,7428222343,8*10,10,3,2,0.5,1,6.5,B,green,MD AMIR<br>30 Days sale: 99000<br>Payment Cycle: 4+<br>Total Score: 6.5
ASHOK FRUITS,JHEEL CHOWK,28.6570692,77.27567267,Naveen,99000,4+,8178931713,8*10,20,3,2,0.5,1,6.5,B,green,ASHOK FRUITS<br>30 Days sale: 99000<br>Payment Cycle: 4+<br>Total Score: 6.5
BITTO FRUITS,JHEEL CHOWK,28.65664555,77.27586579,Naveen,99000,4+,7982716959,6*6,15,3,2,0.5,1,6.5,B,green,BITTO FRUITS<br>30 Days sale: 99000<br>Payment Cycle: 4+<br>Total Score: 6.5
ANAND FRUITS,JHEEL TANGA STAND,28.65706913,77.27243256,Naveen,99000,4+,9599469921,8*10,15,3,2,0.5,1,6.5,B,green,ANAND FRUITS<br>30 Days sale: 99000<br>Payment Cycle: 4+<br>Total Score: 6.5
SALMAN FRUITS,BABU RAM SCHOOL SHAHDARA,28.66786303,77.28959171,Naveen,99000,4+,9149208154,4*6,12,3,2,0.5,1,6.5,B,green,SALMAN FRUITS<br>30 Days sale: 99000<br>Payment Cycle: 4+<br>Total Score: 6.5
RAJIV FRUIT,JHEEL MKT,28.66036928,77.2764221,Naveen,99000,4+,8586886251,4*6,10,3,2,0.5,1,6.5,B,green,RAJIV FRUIT<br>30 Days sale: 99000<br>Payment Cycle: 4+<br>Total Score: 6.5
JISHAN FRUITS,KRISHNA NGR,28.65241817,77.28380238,Naveen,99000,4+,7289810130,6*6,8,3,2,0.5,1,6.5,B,green,JISHAN FRUITS<br>30 Days sale: 99000<br>Payment Cycle: 4+<br>Total Score: 6.5
ANSARI FRUITS,KRISHNA NGR,28.65190976,77.28071248,Naveen,75000,4+,9958231474,4*6,10,2,2,0.5,1,5.5,B,red,ANSARI FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 4+<br>Total Score: 5.5
DHARAMVIR FRUITS,KRISHNA NGR,28.64948064,77.28364145,Naveen,75000,4+,8700323059,6*8,10,2,2,0.5,1,5.5,B,red,DHARAMVIR FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 4+<br>Total Score: 5.5
BRIJESH FRUITS,KRISHNA NGR,28.65088351,77.28283679,Naveen,75000,1,8510025021,4*6,10,2,4,0.5,1,7.5,B,green,BRIJESH FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7.5
A K FRUITS,KRISHNA NGR,28.65093059,77.28573358,Naveen,75000,1,8860885016,6*6,15,2,4,0,1,7,B,green,A K FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
ABDUL FRUITS,KRISHNA NGR,28.65241817,77.28575503,Naveen,75000,1,7906612994,6*8,10,2,4,0,1,7,B,green,ABDUL FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
ARIF MADINA FRUITS,TEJAB MILL,28.67182933,77.28854623,Naveen,75000,1,8447029052,12*14,25,2,4,0,1,7,B,green,ARIF MADINA FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
NASEEM AKHTAR FRUITS,NEW ASHOK NAGAR,28.6615899,77.28426625,Naveen,75000,1,9810965040,8*10,15,2,4,0,1,7,B,green,NASEEM AKHTAR FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
AJAY FRUITS,NEW ASHOK NAGAR,28.65656163,77.28361135,Naveen,75000,1,8810465693,10*12,10,2,4,0,1,7,B,green,AJAY FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
SAROJ FRUITS,NEW ASHOK NAGAR,28.65680979,77.28554626,Naveen,75000,1,9315118664,4*6,12,2,4,0,1,7,B,green,SAROJ FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
ASHU FRUITS,NEW ASHOK NAGAR,28.6567706,77.28460857,Naveen,75000,1,8958177815,6*6,15,2,4,0,1,7,B,green,ASHU FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
NOOR FRUITS,NEW ASHOK NAGAR,28.58916,77.30214,Naveen,75000,7+,8851709124,8*6,10,2,1,0,1,4,C,red,NOOR FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 7+<br>Total Score: 4
DINESH FRUITS,BABU RAM SCHOOL SHAHDARA,28.6670367,77.2902583,Naveen,75000,7+,9311606511,6*6,15,2,1,0,1,4,C,red,DINESH FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 7+<br>Total Score: 4
DAVENDER FRUITS,BABU RAM SCHOOL SHAHDARA,28.6650367,77.2912583,Naveen,75000,7+,8595874854,4*6,20,2,1,0,1,4,C,red,DAVENDER FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 7+<br>Total Score: 4
CHADER MOHAN FRUITS,BABU RAM SCHOOL SHAHDARA,28.6600367,77.2952583,Naveen,75000,2+,6397831654,8*10,25,2,3,0,1,6,B,green,CHADER MOHAN FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 2+<br>Total Score: 6
ASHISH FRUITS,BABU RAM SCHOOL SHAHDARA,28.6680367,77.2912593,Naveen,75000,2+,9625270868,6*6,15,2,3,0,1,6,B,green,ASHISH FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 2+<br>Total Score: 6
ALI HASAN FRUITS,BABU RAM SCHOOL SHAHDARA,28.6620367,77.2913583,Naveen,75000,2+,7906708369,8*8,10,2,3,0,1,6,B,green,ALI HASAN FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 2+<br>Total Score: 6
RAJESH FRUITS,KARKADOOMA,28.6529458,77.3022868,Naveen,99000,2+,9873342781,10*10,20,3,3,0,1,7,B,green,RAJESH FRUITS<br>30 Days sale: 99000<br>Payment Cycle: 2+<br>Total Score: 7
RAMESH FRUITS,VIVEK VIHAR,28.6712458,77.3176541,Naveen,99000,2+,9650074585,10*12,30,3,3,0,1,7,B,green,RAMESH FRUITS<br>30 Days sale: 99000<br>Payment Cycle: 2+<br>Total Score: 7
JANAKSHI FRUITS,SHALIMAR PARK,28.66680603,77.28406649,Naveen,99000,2+,7060229463,4*6,10,3,3,0,1,7,B,green,JANAKSHI FRUITS<br>30 Days sale: 99000<br>Payment Cycle: 2+<br>Total Score: 7
MD KASIM FRUITS,SHALIMAR PARK,28.66280603,77.28106649,Naveen,99000,2+,7088219453,6*6,15,3,3,0,1,7,B,green,MD KASIM FRUITS<br>30 Days sale: 99000<br>Payment Cycle: 2+<br>Total Score: 7
SANJAY FRUITS,SHALIMAR PARK,28.66080603,77.28416649,Naveen,60000,2+,9319390731,6*8,20,1,3,0,1,5,B,red,SANJAY FRUITS<br>30 Days sale: 60000<br>Payment Cycle: 2+<br>Total Score: 5
BALRAM FRUITS,BABU RAM SCHOOL SHAHDARA,28.6670367,77.2902583,Naveen,60000,2+,9899840831,6*8,15,1,3,0,1,5,B,red,BALRAM FRUITS<br>30 Days sale: 60000<br>Payment Cycle: 2+<br>Total Score: 5
SHAHID RAJA FRUITS,BABU RAM SCHOOL SHAHDARA,28.6670367,77.2902583,Naveen,60000,2+,9759462998,4*6,5,1,3,0,1,5,B,red,SHAHID RAJA FRUITS<br>30 Days sale: 60000<br>Payment Cycle: 2+<br>Total Score: 5
SURESH FRUITS,BABU RAM SCHOOL SHAHDARA,28.6670367,77.2902583,Naveen,60000,2+,9873762844,6*8,25,1,3,0,1,5,B,red,SURESH FRUITS<br>30 Days sale: 60000<br>Payment Cycle: 2+<br>Total Score: 5
KARAN TREDERS,TELIWARA SHAHDARA ,28.6714653,77.2897197,Naveen,60000,2+,8802926017,12*16,40,1,3,0,1,5,B,red,KARAN TREDERS<br>30 Days sale: 60000<br>Payment Cycle: 2+<br>Total Score: 5
DILSHAD FRUITS,TELIWARA SHAHDARA ,28.6714653,77.2897197,Naveen,60000,7+,8267936682,4*6,10,1,1,0,1,3,C,red,DILSHAD FRUITS<br>30 Days sale: 60000<br>Payment Cycle: 7+<br>Total Score: 3
ARUN FRUITS,JWALA NAGAR,28.6719589,77.2986963,Naveen,60000,7+,9540477652,10*12,30,1,1,0,1,3,C,red,ARUN FRUITS<br>30 Days sale: 60000<br>Payment Cycle: 7+<br>Total Score: 3
SAWITA FRUITS,JWALA NAGAR,28.6719589,77.2986963,Naveen,60000,7+,8598846241,8*8,15,1,1,0,1,3,C,red,SAWITA FRUITS<br>30 Days sale: 60000<br>Payment Cycle: 7+<br>Total Score: 3
ASHU FRUITS,JHILLMILL COLONY,28.6715031,77.3066258,Naveen,60000,7+,8178080506,4*6,5,1,1,0,1,3,C,red,ASHU FRUITS<br>30 Days sale: 60000<br>Payment Cycle: 7+<br>Total Score: 3
SANTOSH FRUITS,JHILLMILL COLONY,28.6715031,77.3066258,Naveen,60000,7+,9873422866,6*8,10,1,1,0,1,3,C,red,SANTOSH FRUITS<br>30 Days sale: 60000<br>Payment Cycle: 7+<br>Total Score: 3
TOHID FRUITS,JHILLMILL COLONY,28.6715031,77.3066258,Naveen,60000,7+,6396973077,4*6,5,1,1,0,1,3,C,red,TOHID FRUITS<br>30 Days sale: 60000<br>Payment Cycle: 7+<br>Total Score: 3
VIJAY FRUITS,SAVITA VIHAR,28.6609622,77.3188016,Naveen,60000,1,8826039828,6*8,20,1,4,0,1,6,B,green,VIJAY FRUITS<br>30 Days sale: 60000<br>Payment Cycle: 1<br>Total Score: 6
AMIT FRUITS,247 KAKADOOMA VILLAGE,28.6529458,77.3022868,Naveen,60000,1,8700724014,8*10,12,1,4,0,0.5,5.5,B,red,AMIT FRUITS<br>30 Days sale: 60000<br>Payment Cycle: 1<br>Total Score: 5.5
HASIF FRUITS,NAVEEN SHAHDARA,28.6761928,77.2828969,Naveen,60000,1,9971731713,4*6,10,1,4,0,0.5,5.5,B,red,HASIF FRUITS<br>30 Days sale: 60000<br>Payment Cycle: 1<br>Total Score: 5.5
KURESHI FRUITS,GEETA COLONY,28.6539087,77.2712102,Naveen,60000,1,8882164923,10*12,25,1,4,0,0.5,5.5,B,red,KURESHI FRUITS<br>30 Days sale: 60000<br>Payment Cycle: 1<br>Total Score: 5.5
UDAY FRUITS,RISHABH VIHAR,28.6547834,77.302584,Naveen,135000,1,8595863894,6*8,20,4,4,0,0.5,8.5,A,green,UDAY FRUITS<br>30 Days sale: 135000<br>Payment Cycle: 1<br>Total Score: 8.5
ADNANI FRUITS,KARKADOOMA SHANTI VIHAR,28.6516322,77.2997735,Naveen,135000,1,7827384567,8*10,15,4,4,0,0.5,8.5,A,green,ADNANI FRUITS<br>30 Days sale: 135000<br>Payment Cycle: 1<br>Total Score: 8.5
AJAY FRUITS,ARVACHIN SCHOOL ,28.6677532,77.3180783,Naveen,135000,1,9675163993,4*6,25,4,4,0,0.5,8.5,A,green,AJAY FRUITS<br>30 Days sale: 135000<br>Payment Cycle: 1<br>Total Score: 8.5
TWINKLE FRUITS,JHILLMILL COLONY,28.6715031,77.3066258,Naveen,135000,1,9599415848,8*10,30,4,4,0,0.5,8.5,A,green,TWINKLE FRUITS<br>30 Days sale: 135000<br>Payment Cycle: 1<br>Total Score: 8.5
OM PARKASH FRUITS,KRISHNA NAGAR,28.65509201,77.28410279,Naveen,135000,1,8929683627,8*8,12,4,4,0,0.5,8.5,A,green,OM PARKASH FRUITS<br>30 Days sale: 135000<br>Payment Cycle: 1<br>Total Score: 8.5
SALMAN FRUITS,BABU RAM SCHOOL SHAHDARA,28.6670367,77.2902583,Naveen,135000,1,9149208154,4*6,15,4,4,0,0.5,8.5,A,green,SALMAN FRUITS<br>30 Days sale: 135000<br>Payment Cycle: 1<br>Total Score: 8.5
TARA CHAND FRUITS,SHAHDARA CHOTA BAJAAR,28.6716699,77.2918741,Naveen,135000,2+,9278955996,4*6,15,4,3,0,0.5,7.5,B,green,TARA CHAND FRUITS<br>30 Days sale: 135000<br>Payment Cycle: 2+<br>Total Score: 7.5
FRESF MART FRUITS,JWALA NAGAR,28.6719589,77.2986963,Naveen,135000,2+,9718000050,18*18,45,4,3,0,0.5,7.5,B,green,FRESF MART FRUITS<br>30 Days sale: 135000<br>Payment Cycle: 2+<br>Total Score: 7.5
SACHIN FRUTS,JHILLMILL COLONY,28.6715031,77.3066258,Naveen,135000,2+,9910672916,6*8,20,4,3,0,0.5,7.5,B,green,SACHIN FRUTS<br>30 Days sale: 135000<br>Payment Cycle: 2+<br>Total Score: 7.5
hamid ali fruits,JHILLMILL COLONY,28.6715031,77.3066258,Naveen,135000,2+,8527075821,6*6,20,4,3,0,0.5,7.5,B,green,hamid ali fruits<br>30 Days sale: 135000<br>Payment Cycle: 2+<br>Total Score: 7.5
EVER GREEN FRUIT,BHOLA NATH NAGAR,28.6694348,77.2872061,Naveen,60000,2+,9871444191,12*14,20,1,3,0,0.5,4.5,C,red,EVER GREEN FRUIT<br>30 Days sale: 60000<br>Payment Cycle: 2+<br>Total Score: 4.5
HERO FRUIT ,NEW SEELAMPURE,28.6754755,77.2678137,Naveen,60000,2+,7838672877,10*12,15,1,3,0,0.5,4.5,C,red,HERO FRUIT <br>30 Days sale: 60000<br>Payment Cycle: 2+<br>Total Score: 4.5
MALIK FRUIT,MAIN ROAD SHAHDARA,28.6664756,77.2724401,Naveen,60000,2+,9213737796,8*10,12,1,3,0,0.5,4.5,C,red,MALIK FRUIT<br>30 Days sale: 60000<br>Payment Cycle: 2+<br>Total Score: 4.5
LALA DYAL CHAND,SHAHDARA BHOLA NATH NAGAR,28.6694348,77.2872061,Naveen,60000,2+,9266373364,10*12,15,1,3,0,0.5,4.5,C,red,LALA DYAL CHAND<br>30 Days sale: 60000<br>Payment Cycle: 2+<br>Total Score: 4.5
GOLA FRESH FRUIT,DILSHAQD GARDEN,28.6828082,77.3121354,Naveen,60000,2+,9971949139,12*12,25,1,3,0,0.5,4.5,C,red,GOLA FRESH FRUIT<br>30 Days sale: 60000<br>Payment Cycle: 2+<br>Total Score: 4.5
GUPTA FRUITS,22 KRISHNA NAGAR,28.65509201,77.28410279,Naveen,75000,2+,9910825341,10*12,10,2,3,0,0.5,5.5,B,red,GUPTA FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 2+<br>Total Score: 5.5
SACHIN FRUTS,35/36 KRISHNA NAGAR,28.65509201,77.28410279,Naveen,75000,1,8826199415,6*8,10,2,4,0,1,7,B,green,SACHIN FRUTS<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
SHEZAD FRUIT,NEW SEELAMPURE,28.6754755,77.2678137,Sachin,75000,1,9911017051,10*12,25,2,4,0,1,7,B,green,SHEZAD FRUIT<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
A ONE FRUITS,KARKADOOMA MAIN ROAD,28.6529458,77.3022868,Sachin,75000,1,9873224734,4*6,8,2,4,0,1,7,B,green,A ONE FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
TIWARI FRUITS,SHAHDARA,28.6713752,77.2692261,Sachin,75000,1,8585987070,10*12,11,2,4,0,1,7,B,green,TIWARI FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
SATGURU FRUITS,LAXMI NAGAR,28.6371746,77.2756181,Sachin,75000,1,9868008451,12*14,18,2,4,0,1,7,B,green,SATGURU FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
AMIT FRUITS,DILSHAQD GARDEN,28.6828082,77.3121354,Sachin,75000,1,8130067390,8*8,14,2,4,0,1,7,B,green,AMIT FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
AGGARWALL FRUITS,YAMNA VIHAR,28.7009403,77.2721047,Sachin,75000,1,9540451787,6*8,6,2,4,0,1,7,B,green,AGGARWALL FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
ASTAR FRUITS,ANAND VIHAR,28.1726434,-82.3206699,Sachin,75000,1,9289126632,4*6,10,2,4,0,1,7,B,green,ASTAR FRUITS<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
GUPTA AND SONS,PUSTA NUM 1 SONIA VIHAR,28.7204331,77.2444892,Sachin,135000,1,7840803204,10*12,25,4,4,0,1,9,A,green,GUPTA AND SONS<br>30 Days sale: 135000<br>Payment Cycle: 1<br>Total Score: 9
GUPTA FRUITS,B -217 SONIA VIHAR,28.7100227,77.2517226,Sachin,135000,1,9654754742,8*8,10,4,4,0,0.5,8.5,A,green,GUPTA FRUITS<br>30 Days sale: 135000<br>Payment Cycle: 1<br>Total Score: 8.5
SANJAY FRUITS,VINOD NAGAR,28.6229205,77.3086902,Sachin,135000,1,9868365189,6*6,15,4,4,0,0.5,8.5,A,green,SANJAY FRUITS<br>30 Days sale: 135000<br>Payment Cycle: 1<br>Total Score: 8.5
DEEPAK FRUIT,GHAJIPURE,28.63335674,77.32289594,Sachin,135000,1,9212311415,10*10,16,4,4,0,0.5,8.5,A,green,DEEPAK FRUIT<br>30 Days sale: 135000<br>Payment Cycle: 1<br>Total Score: 8.5
VINOD KOSHIK,GHAJIPURE,28.63335674,77.32289594,Sachin,135000,7+,9910458926,8*10,16,4,1,0,0.5,5.5,B,red,VINOD KOSHIK<br>30 Days sale: 135000<br>Payment Cycle: 7+<br>Total Score: 5.5
FRUIT CENTER,KASHMIRI GATE,28.6664723,77.2332892,Sachin,135000,7+,9971681785,10*12,18,4,1,0,0.5,5.5,B,red,FRUIT CENTER<br>30 Days sale: 135000<br>Payment Cycle: 7+<br>Total Score: 5.5
JAI SHRI RAM FRUIT,MAYUR VIHAR FACE 1,28.6083697,77.293112,Sachin,60000,7+,9213342798,8*10,14,1,1,0,0.5,2.5,C,red,JAI SHRI RAM FRUIT<br>30 Days sale: 60000<br>Payment Cycle: 7+<br>Total Score: 2.5
Prahalad Fruits,Crossing Republik,28.6302312,77.4349177,Shivam,60000,7+,9664128766,20X10,All Fruits,1,1,0,0.5,2.5,C,red,Prahalad Fruits<br>30 Days sale: 60000<br>Payment Cycle: 7+<br>Total Score: 2.5
