SHOP NAME,LOCATION,Latitude,Longitude,Sales Exec Name,Average 30 days Sale,Average Payment Cycle (days),MOBILE NO,SHOP SIZE,NO OF SKU,Volume  (4/10),Credit Cycle (4/10),Location (1/10),SKUS (1/10),Total,quality,Color,hov_text
Imran Fruits,Crossing Republik,28.6302312,77.4349177,Shivam,60000,7+,9858818673,10X15,All Fruits,1,1,0,0.5,2.5,C,red,Imran Fruits<br>30 Days sale: 60000<br>Payment Cycle: 7+<br>Total Score: 2.5
Today Fruits,Crossing Republik,28.6302312,77.4349177,Shivam,60000,4+,8447191270,10X15,All Fruits,1,2,0,0.5,3.5,C,red,Today Fruits<br>30 Days sale: 60000<br>Payment Cycle: 4+<br>Total Score: 3.5
Sunil Fruits,Crossing Republik,28.6302312,77.4349177,Shivam,60000,4+,9643533300,10X10,All Fruits,1,2,0,0.5,3.5,C,red,Sunil Fruits<br>30 Days sale: 60000<br>Payment Cycle: 4+<br>Total Score: 3.5
Pratik Fruits,Crossing Republik,28.6302312,77.4349177,Shivam,60000,4+,8439428063,10X10,All Fruits,1,2,0,0.5,3.5,C,red,Pratik Fruits<br>30 Days sale: 60000<br>Payment Cycle: 4+<br>Total Score: 3.5
Pankaj Fruits,Crossing Republik,28.6302312,77.4349177,Shivam,60000,2+,8076509968,15X10,All Fruits,1,3,0,0.5,4.5,C,red,Pankaj Fruits<br>30 Days sale: 60000<br>Payment Cycle: 2+<br>Total Score: 4.5
Rajan Fruits,Crossing Republik,28.6302312,77.4349177,Shivam,60000,2+,8191875146,15X10,All Fruits,1,3,0,0.5,4.5,C,red,Rajan Fruits<br>30 Days sale: 60000<br>Payment Cycle: 2+<br>Total Score: 4.5
Pitamha Fruits,Crossing Republik,28.6302312,77.4349177,Shivam,60000,2+,8700746021,10X10,All Fruits,1,3,0,0.5,4.5,C,red,Pitamha Fruits<br>30 Days sale: 60000<br>Payment Cycle: 2+<br>Total Score: 4.5
HS Fruits,"Sec.78, Noida",28.5613693,77.3847351,Shivam,99000,2+,9891415845,10X10,All Fruits,3,3,0,0.5,6.5,B,green,HS Fruits<br>30 Days sale: 99000<br>Payment Cycle: 2+<br>Total Score: 6.5
Sethi Fruits,Crossing Republik,28.6302312,77.4349177,Shivam,99000,2+,9899119789,10X10,All Fruits,3,3,0,0.5,6.5,B,green,Sethi Fruits<br>30 Days sale: 99000<br>Payment Cycle: 2+<br>Total Score: 6.5
Babu Fruits,Crossing Republik,28.6302312,77.4349177,Shivam,99000,2+,8287823730,15X10,All Fruits,3,3,0,0.5,6.5,B,green,Babu Fruits<br>30 Days sale: 99000<br>Payment Cycle: 2+<br>Total Score: 6.5
Jatin Fruits,Crossing Republik,28.6302312,77.4349177,Shivam,99000,2+,8527562052,10X10,All Fruits,3,3,0,0.5,6.5,B,green,Jatin Fruits<br>30 Days sale: 99000<br>Payment Cycle: 2+<br>Total Score: 6.5
Ratan Fruits,"Sec.121, Noida",28.6005955,77.4003841,Shivam,99000,2+,8868128324,15X10,All Fruits,3,3,0,0.5,6.5,B,green,Ratan Fruits<br>30 Days sale: 99000<br>Payment Cycle: 2+<br>Total Score: 6.5
Mukes Fruits,"Sec.75, Noida",28.5744851,77.3826845,Shivam,99000,2+,8920329314,10X10,All Fruits,3,3,0,0.5,6.5,B,green,Mukes Fruits<br>30 Days sale: 99000<br>Payment Cycle: 2+<br>Total Score: 6.5
Ratan Fruits,"Sec.129, Noida",28.5061446,77.3884251,Shivam,99000,2+,9887733290,18X10,All Fruits,3,3,0,0.5,6.5,B,green,Ratan Fruits<br>30 Days sale: 99000<br>Payment Cycle: 2+<br>Total Score: 6.5
Raj Kumar Fruits,"Sec.1, Noida",28.5900173,77.3116215,Shivam,99000,2+,7982035333,25X15,All Fruits,3,3,0,0.5,6.5,B,green,Raj Kumar Fruits<br>30 Days sale: 99000<br>Payment Cycle: 2+<br>Total Score: 6.5
Sachin Fruits,"Sec.59, Noida",28.6075627,77.3683319,Shivam,75000,2+,8700254484,30X20,All Fruits,2,3,0,0.5,5.5,B,red,Sachin Fruits<br>30 Days sale: 75000<br>Payment Cycle: 2+<br>Total Score: 5.5
Gulfan Fruits,Sahidabad Mandi,28.6620078,77.3366816,Shivam,75000,2+,9910923436,10X12,All Fruits,2,3,0,0.5,5.5,B,red,Gulfan Fruits<br>30 Days sale: 75000<br>Payment Cycle: 2+<br>Total Score: 5.5
Vinod Fruits,Noida Phase II Mandi,28.5355161,77.3910265,Shivam,75000,2+,8178224058,10X15,All Fruits,2,3,0,0.5,5.5,B,red,Vinod Fruits<br>30 Days sale: 75000<br>Payment Cycle: 2+<br>Total Score: 5.5
Easy Fruits,"Sec.119, Noida",28.5878501,77.4027753,Shivam,75000,7+,9953186353,10X10,All Fruits,2,1,0,0.5,3.5,C,red,Easy Fruits<br>30 Days sale: 75000<br>Payment Cycle: 7+<br>Total Score: 3.5
Balaji Fruits,Mahogun Mart,28.5637398,77.3876179,Shivam,75000,7+,92139899040,10X8,All Fruits,2,1,0,0.5,3.5,C,red,Balaji Fruits<br>30 Days sale: 75000<br>Payment Cycle: 7+<br>Total Score: 3.5
Balaji Fruits,Gulshan Society,28.50964333,77.4074867,Shivam,75000,7+,9213989040,10X18,All Fruits,2,1,0,0.5,3.5,C,red,Balaji Fruits<br>30 Days sale: 75000<br>Payment Cycle: 7+<br>Total Score: 3.5
Ratan Fruits,"Sec.1, Noida",28.5900173,77.3116215,Shivam,75000,7+,9625877706,20X15,All Fruits,2,1,0,0.5,3.5,C,red,Ratan Fruits<br>30 Days sale: 75000<br>Payment Cycle: 7+<br>Total Score: 3.5
Firoj Fruits,"Samaridhi IV, Noida",28.5355161,77.3910265,Shivam,75000,7+,8750171440,15X18,All Fruits,2,1,0,0.5,3.5,C,red,Firoj Fruits<br>30 Days sale: 75000<br>Payment Cycle: 7+<br>Total Score: 3.5
KSKI Fruits,"Sec. 62, Noida",28.627981,77.3648567,Shivam,75000,7+,8383969704,10X10,All Fruits,2,1,0,0.5,3.5,C,red,KSKI Fruits<br>30 Days sale: 75000<br>Payment Cycle: 7+<br>Total Score: 3.5
Mosim Fruits,"Sec.1, Bisrakh",28.5727061,77.4402958,Shivam,75000,4+,8475876477,10X21,All Fruits,2,2,0,0.5,4.5,C,red,Mosim Fruits<br>30 Days sale: 75000<br>Payment Cycle: 4+<br>Total Score: 4.5
OM Fruits,"Sec.1, Noida",28.5900173,77.3116215,Shivam,75000,4+,7011565316,10X10,All Fruits,2,2,0,0.5,4.5,C,red,OM Fruits<br>30 Days sale: 75000<br>Payment Cycle: 4+<br>Total Score: 4.5
Sorav Fruits,"Samaridhi IV, Noida",28.5355161,77.3910265,Shivam,75000,4+,9871230345,12X12,All Fruits,2,2,0,0.5,4.5,C,red,Sorav Fruits<br>30 Days sale: 75000<br>Payment Cycle: 4+<br>Total Score: 4.5
Sonu Fruits,Gaur City,28.6100966,77.4233416,Shivam,75000,4+,8700204309,20X10,All Fruits,2,2,0,0.5,4.5,C,red,Sonu Fruits<br>30 Days sale: 75000<br>Payment Cycle: 4+<br>Total Score: 4.5
Daily Needs,"Sec.1, Noida",28.5900173,77.3116215,Shivam,75000,4+,9548010791,10X15,All Fruits,2,2,0,0.5,4.5,C,red,Daily Needs<br>30 Days sale: 75000<br>Payment Cycle: 4+<br>Total Score: 4.5
Sunil Fruits,"Jalwayu Vihar, Noida",28.5849837,77.337694,Shivam,75000,4+,9540968482,20X10,All Fruits,2,2,0,0.5,4.5,C,red,Sunil Fruits<br>30 Days sale: 75000<br>Payment Cycle: 4+<br>Total Score: 4.5
Yogesh Fruits,"NSG Society, Noida",28.4471533,77.5024596,Shivam,75000,4+,7065262666,20X15,All Fruits,2,2,0,0.5,4.5,C,red,Yogesh Fruits<br>30 Days sale: 75000<br>Payment Cycle: 4+<br>Total Score: 4.5
Krishan Fruits,"Brindra City, Noida",28.5355161,77.3910265,Shivam,75000,4+,8368567330,10X10,All Fruits,2,2,0,0.5,4.5,C,red,Krishan Fruits<br>30 Days sale: 75000<br>Payment Cycle: 4+<br>Total Score: 4.5
Guru Kripa Fruits,"Engineer Park, Noida",28.4561373,77.5131368,Shivam,75000,4+,9811687853,10X10,All Fruits,2,2,0,0.5,4.5,C,red,Guru Kripa Fruits<br>30 Days sale: 75000<br>Payment Cycle: 4+<br>Total Score: 4.5
Ravi Fruits,"Pldco 4, Noida",28.5355161,77.3910265,Shivam,75000,4+,7838893302,10X10,All Fruits,2,2,0,0.5,4.5,C,red,Ravi Fruits<br>30 Days sale: 75000<br>Payment Cycle: 4+<br>Total Score: 4.5
Indra Fruits,"Parsunath Society, Noida",28.5187653,77.3861842,Shivam,75000,2+,9319166596,15X15,All Fruits,2,3,0,0.5,5.5,B,red,Indra Fruits<br>30 Days sale: 75000<br>Payment Cycle: 2+<br>Total Score: 5.5
 Dada Fruits,"P-3, Noida",28.5355161,77.3910265,Shivam,75000,2+,7982877123,20X20,All Fruits,2,3,0,0.5,5.5,B,red, Dada Fruits<br>30 Days sale: 75000<br>Payment Cycle: 2+<br>Total Score: 5.5
Sahil Fruits,WHO-Noida,28.5355161,77.3910265,Shivam,75000,2+,9871490667,15X10,All Fruits,2,3,0,0.5,5.5,B,red,Sahil Fruits<br>30 Days sale: 75000<br>Payment Cycle: 2+<br>Total Score: 5.5
Gupta Fruits,"ACE Platinium, Noida",28.6038172,77.403309,Shivam,75000,2+,9718141209,10X10,All Fruits,2,3,0,0.5,5.5,B,red,Gupta Fruits<br>30 Days sale: 75000<br>Payment Cycle: 2+<br>Total Score: 5.5
Himanshu Fruits,"Engineer Park, Noida",28.4561373,77.5131368,Shivam,75000,2+,8586812996,10X10,All Fruits,2,3,0,0.5,5.5,B,red,Himanshu Fruits<br>30 Days sale: 75000<br>Payment Cycle: 2+<br>Total Score: 5.5
Shivam Fruits," Omicron-1, Noida",28.5355161,77.3910265,Shivam,75000,2+,9650211875,10X10,All Fruits,2,3,0,0.5,5.5,B,red,Shivam Fruits<br>30 Days sale: 75000<br>Payment Cycle: 2+<br>Total Score: 5.5
Shubh Laxmi Fruits,"Jalwayu Vihar, Noida",28.5849837,77.337694,Shivam,75000,2+,9911714191,10X15,All Fruits,2,3,0,0.5,5.5,B,red,Shubh Laxmi Fruits<br>30 Days sale: 75000<br>Payment Cycle: 2+<br>Total Score: 5.5
Fruit Vega,"Samridhi-4, Noida",28.5355161,77.3910265,Shivam,75000,2+,9560307200,15X10,All Fruits,2,3,0,0.5,5.5,B,red,Fruit Vega<br>30 Days sale: 75000<br>Payment Cycle: 2+<br>Total Score: 5.5
Every Day Mart,"D-3, Noida",28.5355161,77.3910265,Shivam,135000,2+,9971438046,10X10,All Fruits,4,3,0,0.5,7.5,B,green,Every Day Mart<br>30 Days sale: 135000<br>Payment Cycle: 2+<br>Total Score: 7.5
Om Freash Fruits,"Stellar Jeevan, Noida",28.5652602,77.4483323,Shivam,135000,2+,7011565316,15X20,All Fruits,4,3,0,0.5,7.5,B,green,Om Freash Fruits<br>30 Days sale: 135000<br>Payment Cycle: 2+<br>Total Score: 7.5
Boby Fruits,"Sec.93, Noida",28.5259622,77.3835815,Shivam,135000,1,8447226672,10X15,All Fruits,4,4,0,0.5,8.5,A,green,Boby Fruits<br>30 Days sale: 135000<br>Payment Cycle: 1<br>Total Score: 8.5
Om Dairy,"ATS Sec.93, Noida",28.5259622,77.3835815,Shivam,135000,1,8527243060,10X15,All Fruits,4,4,0,0.5,8.5,A,green,Om Dairy<br>30 Days sale: 135000<br>Payment Cycle: 1<br>Total Score: 8.5
A-1 Fruit,"Noida, Sec.78",28.5613693,77.3847351,Shivam,60000,1,9717505351,15X20,All Fruits,1,4,0,1,6,B,green,A-1 Fruit<br>30 Days sale: 60000<br>Payment Cycle: 1<br>Total Score: 6
Fresh Fruits,"Noida, Sec.75",28.5744851,77.3826845,Shivam,60000,1,0120-3692799,15X20,All Fruits,1,4,0,1,6,B,green,Fresh Fruits<br>30 Days sale: 60000<br>Payment Cycle: 1<br>Total Score: 6
Go Fresh,"Noida, Sec.70",28.5974385,77.3826845,Shivam,60000,1,9710773232,30X15,All Fruits,1,4,0,1,6,B,green,Go Fresh<br>30 Days sale: 60000<br>Payment Cycle: 1<br>Total Score: 6
Fresh & Frooti,"Noida, Sec.70",28.5974385,77.3826845,Shivam,60000,1,9289216462,30X15,All Fruits,1,4,0,1,6,B,green,Fresh & Frooti<br>30 Days sale: 60000<br>Payment Cycle: 1<br>Total Score: 6
Allied Fruit,"Noida, Sec.50",28.5719972,77.3693678,Shivam,60000,1,9718433534,20X15,All Fruits,1,4,0,0.5,5.5,B,red,Allied Fruit<br>30 Days sale: 60000<br>Payment Cycle: 1<br>Total Score: 5.5
Lalit Fruit,"Gaur City-1, Noida",28.6107386,77.4250145,Shivam,135000,1,9540193259,10X12,All Fruits,4,4,0,0.5,8.5,A,green,Lalit Fruit<br>30 Days sale: 135000<br>Payment Cycle: 1<br>Total Score: 8.5
Monu Fruit,"Noida, Sec.3",28.5801879,77.3180866,Shivam,135000,1,8585914525,20X20,All Fruits,4,4,0,0.5,8.5,A,green,Monu Fruit<br>30 Days sale: 135000<br>Payment Cycle: 1<br>Total Score: 8.5
Tarkari Fruit,"Gaur City-1, Noida",28.6107386,77.4250145,Shivam,135000,1,8882574019,15X20,All Fruits,4,4,0,0.5,8.5,A,green,Tarkari Fruit<br>30 Days sale: 135000<br>Payment Cycle: 1<br>Total Score: 8.5
Farhaan Fruit,Gaur Sondryam,28.6046465,77.434872,Shivam,135000,1,9654108483,10X10,All Fruits,4,4,0,0.5,8.5,A,green,Farhaan Fruit<br>30 Days sale: 135000<br>Payment Cycle: 1<br>Total Score: 8.5
Jai Mata Di Fruit,"16th Avanue, Gaur City",28.6225341,77.4224702,Shivam,135000,1,9650644756,20X10,All Fruits,4,4,0,0.5,8.5,A,green,Jai Mata Di Fruit<br>30 Days sale: 135000<br>Payment Cycle: 1<br>Total Score: 8.5
Tiwari Fruit,"Stellar Jeevan, Noida",28.5652602,77.4483323,Shivam,135000,2+,8707431526,15X15,All Fruits,4,3,0,0.5,7.5,B,green,Tiwari Fruit<br>30 Days sale: 135000<br>Payment Cycle: 2+<br>Total Score: 7.5
Pramod Fruit,"Noida, Sec.1",28.5900173,77.3116215,Shivam,135000,2+,9211965056,10X10,All Fruits,4,3,0,0.5,7.5,B,green,Pramod Fruit<br>30 Days sale: 135000<br>Payment Cycle: 2+<br>Total Score: 7.5
Danish Fruit,"Noida, Sec.1",28.5900173,77.3116215,Shivam,135000,2+,8057680028,10X10,All Fruits,4,3,0.5,0.5,8,A,green,Danish Fruit<br>30 Days sale: 135000<br>Payment Cycle: 2+<br>Total Score: 8
Eat Fresh,"Gaur City-1, Noida",28.6107386,77.4250145,Shivam,99000,2+,9953979991,20X10,All Fruits,3,3,0.5,0.5,7,B,green,Eat Fresh<br>30 Days sale: 99000<br>Payment Cycle: 2+<br>Total Score: 7
Shiva Fruit,"Gaur City-2, Noida",28.6192679,77.4265032,Shivam,99000,2+,8826455240,15X10,All Fruits,3,3,0.5,0.5,7,B,green,Shiva Fruit<br>30 Days sale: 99000<br>Payment Cycle: 2+<br>Total Score: 7
Pandit Fruit,"Noida, Sec.119",28.5878501,77.4027753,Shivam,99000,2+,9313120925,15X15,All Fruits,3,3,0.5,0.5,7,B,green,Pandit Fruit<br>30 Days sale: 99000<br>Payment Cycle: 2+<br>Total Score: 7
Green Leaves,"Noida, Sec.100",28.5452415,77.3679479,Shivam,99000,2+,,15X10,All Fruits,3,3,0.5,0.5,7,B,green,Green Leaves<br>30 Days sale: 99000<br>Payment Cycle: 2+<br>Total Score: 7
No.1 Fruit,"Gaur City-1, Noida",28.6107386,77.4250145,Shivam,99000,2+,9582337174,10X10,All Fruits,3,3,0.5,0.5,7,B,green,No.1 Fruit<br>30 Days sale: 99000<br>Payment Cycle: 2+<br>Total Score: 7
Mandi House,"Noida, Sec.75",28.5744851,77.3826845,Shivam,99000,2+,8178232876,20X15,All Fruits,3,3,0.5,0.5,7,B,green,Mandi House<br>30 Days sale: 99000<br>Payment Cycle: 2+<br>Total Score: 7
Siya Ram Fruit,"Gaur City-2, Noida",28.6192679,77.4265032,Shivam,99000,2+,9560813152,10X10,All Fruits,3,3,0.5,0.5,7,B,green,Siya Ram Fruit<br>30 Days sale: 99000<br>Payment Cycle: 2+<br>Total Score: 7
Anjali Fruits,P3 Gr. Noida,28.4510429,77.5235432,Shivam,99000,2+,7982877123,15X20,All Fruits,3,3,0.5,0.5,7,B,green,Anjali Fruits<br>30 Days sale: 99000<br>Payment Cycle: 2+<br>Total Score: 7
Arif Fruits,2 Block 12,28.59795388,77.34441354,Shivam,99000,1,7351075731,30X15,All Fruits,3,4,0.5,0.5,8,A,green,Arif Fruits<br>30 Days sale: 99000<br>Payment Cycle: 1<br>Total Score: 8
Baipi Fruits,Gr. Noida ,28.4743879,77.5039904,Shivam,99000,1,9654171755,30X15,All Fruits,3,4,0.5,0.5,8,A,green,Baipi Fruits<br>30 Days sale: 99000<br>Payment Cycle: 1<br>Total Score: 8
Bhavani Vegetable,Gr. Noida ,28.4743879,77.5039904,Shivam,99000,1,9990265008,20X15,All Fruits,3,4,0.5,0.5,8,A,green,Bhavani Vegetable<br>30 Days sale: 99000<br>Payment Cycle: 1<br>Total Score: 8
Chhail Fruits,Gr. Noida ,28.4743879,77.5039904,Shivam,99000,1,8750490777,10X12,All Fruits,3,4,0.5,0.5,8,A,green,Chhail Fruits<br>30 Days sale: 99000<br>Payment Cycle: 1<br>Total Score: 8
Delhi Fruit Juice,Gr. Noida ,28.4743879,77.5039904,Shivam,99000,1,7861956786,20X20,All Fruits,3,4,0.5,0.5,8,A,green,Delhi Fruit Juice<br>30 Days sale: 99000<br>Payment Cycle: 1<br>Total Score: 8
Krishana Fruits & Vegetable,Gr. Noida ,28.4743879,77.5039904,Shivam,99000,1,9654309411,15X20,All Fruits,3,4,0.5,0.5,8,A,green,Krishana Fruits & Vegetable<br>30 Days sale: 99000<br>Payment Cycle: 1<br>Total Score: 8
Manoj Fruits,Gr. Noida ,28.4743879,77.5039904,Shivam,75000,1,8826480811,10X10,All Fruits,2,4,0.5,0.5,7,B,green,Manoj Fruits<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
Mishra Juice Corner ,Gr. Noida ,28.4743879,77.5039904,Shivam,75000,1,8178931387,20X10,All Fruits,2,4,0.5,0.5,7,B,green,Mishra Juice Corner <br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
Mohni General Store,Alpha 1,28.47219854,77.51248569,Shivam,75000,1,9354073675,15X15,All Fruits,2,4,0.5,0.5,7,B,green,Mohni General Store<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
Pinku Fruits,Gr. Noida ,28.4743879,77.5039904,Shivam,75000,1,8376927033,10X10,All Fruits,2,4,0.5,0.5,7,B,green,Pinku Fruits<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
Ravi Fruits,Gr. Noida ,28.4743879,77.5039904,Shivam,75000,1,9548481136,10X10,All Fruits,2,4,0.5,0.5,7,B,green,Ravi Fruits<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
 Rina Fruits,P-3 SOCIETY,28.45126928,77.5236183,Shivam,75000,1,7838566031,20X10,All Fruits,2,4,0.5,0.5,7,B,green, Rina Fruits<br>30 Days sale: 75000<br>Payment Cycle: 1<br>Total Score: 7
 Sachin Fruits,Eldiceo Omaga 1,28.5872829,77.40334263,Shivam,75000,4+,9667656717,15X10,All Fruits,2,2,0.5,0.5,5,B,red, Sachin Fruits<br>30 Days sale: 75000<br>Payment Cycle: 4+<br>Total Score: 5
Satyprakash Fruits,Gr. Noida ,28.4743879,77.5039904,Shivam,75000,4+,9793200810,15X15,All Fruits,2,2,0.5,0.5,5,B,red,Satyprakash Fruits<br>30 Days sale: 75000<br>Payment Cycle: 4+<br>Total Score: 5
Store UP 16,"Engineer Park, Noida",28.4561373,77.5131368,Shivam,75000,2+,9811687853,15X10,All Fruits,2,3,0.5,0.5,6,B,green,Store UP 16<br>30 Days sale: 75000<br>Payment Cycle: 2+<br>Total Score: 6
Sudheer Fruits,Gaama 1,28.4847224,77.5001312,Shivam,75000,2+,9540655666,10X10,All Fruits,2,3,0.5,0.5,6,B,green,Sudheer Fruits<br>30 Days sale: 75000<br>Payment Cycle: 2+<br>Total Score: 6
Sunil Fruits,Beta 1,28.4797984,77.5060438,Shivam,75000,2+,7053443326,20X15,All Fruits,2,3,0.5,0.5,6,B,green,Sunil Fruits<br>30 Days sale: 75000<br>Payment Cycle: 2+<br>Total Score: 6
Vahid Fruits,Gr. Noida ,28.4743879,77.5039904,Shivam,75000,2+,9971057822,10X10,All Fruits,2,3,0.5,0.5,6,B,green,Vahid Fruits<br>30 Days sale: 75000<br>Payment Cycle: 2+<br>Total Score: 6
Virendra Fruits,Gr. Noida ,28.4743879,77.5039904,Shivam,135000,2+,9716175661,15X10,All Fruits,4,3,0.5,0.5,8,A,green,Virendra Fruits<br>30 Days sale: 135000<br>Payment Cycle: 2+<br>Total Score: 8
DAY 2 SHOPING MART,AVJ Hight Noida,28.4987526,77.5207376,Shivam,135000,2+,9456695822,10X10,All Fruits,4,3,0.5,1,8.5,A,green,DAY 2 SHOPING MART<br>30 Days sale: 135000<br>Payment Cycle: 2+<br>Total Score: 8.5
All in One Fruits,"Omicron 2, Gr. Noida",28.4673464,77.557643,Shivam,135000,2+,6393743128,10X10,All Fruits,4,3,0.5,1,8.5,A,green,All in One Fruits<br>30 Days sale: 135000<br>Payment Cycle: 2+<br>Total Score: 8.5
Pinku Fruits,Omicron 1 Gr. Noida,28.4621309,77.5633748,Shivam,135000,7+,9582540727,20X10,All Fruits,4,1,0.5,1,6.5,B,green,Pinku Fruits<br>30 Days sale: 135000<br>Payment Cycle: 7+<br>Total Score: 6.5
Vijay Subji Chowk, Noida ,28.5355161,77.3910265,Shivam,135000,7+,8527890736,10X10 ,All Fruits,4,1,0.5,1,6.5,B,green,Vijay Subji Chowk<br>30 Days sale: 135000<br>Payment Cycle: 7+<br>Total Score: 6.5
Shyam Fruit,Noida,28.5355161,77.3910265,Shivam,135000,7+,8602793363,15X20,All Fruits,4,1,0.5,1,6.5,B,green,Shyam Fruit<br>30 Days sale: 135000<br>Payment Cycle: 7+<br>Total Score: 6.5
Salman Fruits,Noida,28.5355161,77.3910265,Shivam,99000,7+,8587900088,10X10,All Fruits,3,1,0.5,1,5.5,B,red,Salman Fruits<br>30 Days sale: 99000<br>Payment Cycle: 7+<br>Total Score: 5.5
SK Mart,Noida,28.5355161,77.3910265,Shivam,99000,4+,9675052421,20X10,All Fruits,3,2,0.5,1,6.5,B,green,SK Mart<br>30 Days sale: 99000<br>Payment Cycle: 4+<br>Total Score: 6.5
Puspendra Safal Bazar,Noida,28.5355161,77.3910265,Shivam,99000,4+,9621066982,15X15,All Fruits,3,2,0.5,1,6.5,B,green,Puspendra Safal Bazar<br>30 Days sale: 99000<br>Payment Cycle: 4+<br>Total Score: 6.5
Chaman Fruits,Noida,28.5355161,77.3910265,Shivam,99000,4+,8587071267,10X10,All Fruits,3,2,0.5,1,6.5,B,green,Chaman Fruits<br>30 Days sale: 99000<br>Payment Cycle: 4+<br>Total Score: 6.5
